date,lower,upper
2016-05-13 19:00:00,133.41268182849964,354.0528482314321
2016-05-13 20:00:00,94.29870906638966,332.4082423824986
2016-05-13 21:00:00,43.31668807483595,292.13438028549075
2016-05-13 22:00:00,22.71582351640029,278.25960914979055
2016-05-13 23:00:00,11.581139435119667,271.40756371082665
2016-05-14 00:00:00,-10.594847907575087,251.98043303792227
2016-05-14 01:00:00,-27.805189646285967,236.54319817242282
2016-05-14 02:00:00,-39.35688555579074,226.1387587236521
2016-05-14 03:00:00,-47.53664950089629,218.70276571150086
2016-05-14 04:00:00,-43.7185467495508,223.00366538783078
2016-05-14 05:00:00,-38.00541580859621,229.03044389348358
2016-05-14 06:00:00,-32.42856650185546,234.81116022493296
2016-05-14 07:00:00,-14.840110826628234,252.53217194667042
2016-05-14 08:00:00,-0.942617162505428,266.5158736572875
2016-05-14 09:00:00,-28.789717196792097,238.72484719498448
2016-05-14 10:00:00,-32.91027275288674,234.64076779243334
2016-05-14 11:00:00,-18.012300007608474,249.5624699023495
2016-05-14 12:00:00,-17.832658457589304,249.75754906940298
2016-05-14 13:00:00,-23.40468565129595,244.19556538587528
2016-05-14 14:00:00,-15.84810557646722,251.75867974476847
2016-05-14 15:00:00,-26.53890633179529,241.07213022527245
2016-05-14 16:00:00,-8.531053072826836,259.08274937766976
2016-05-14 17:00:00,23.34563197104663,290.9612339456828
2016-05-14 18:00:00,16.68990866368688,284.30668143427425
2016-05-14 19:00:00,-13.287684795647934,254.81081079862008
2016-05-14 20:00:00,-21.899929600246963,246.284127370537
2016-05-14 21:00:00,-44.94606839109068,223.29364098142779
2016-05-14 22:00:00,-58.29836514131428,209.97754647720694
2016-05-14 23:00:00,-66.28516639033238,202.0142964307595
2016-05-15 00:00:00,-71.58309753512678,196.7316870074966
2016-05-15 01:00:00,-70.1231209235365,198.20163173401406
2016-05-15 02:00:00,-70.43825754594306,197.8929803457451
2016-05-15 03:00:00,-70.77437711106569,197.56108010520848
2016-05-15 04:00:00,-70.98261899721712,197.35558335109994
2016-05-15 05:00:00,-63.461591076393574,204.87839728860638
2016-05-15 06:00:00,-53.25373762227673,215.08741275057997
2016-05-15 07:00:00,-36.83741172578175,231.5044946673649
2016-05-15 08:00:00,-16.58759061315949,251.75480765909907
2016-05-15 09:00:00,-33.547259342572545,234.79545895450605
2016-05-15 10:00:00,-39.2091437080162,229.13378280270092
2016-05-15 11:00:00,-27.973531740043555,240.3695302380856
2016-05-15 12:00:00,-26.530142773644457,241.81300734195707
2016-05-15 13:00:00,-32.82390129619337,235.51930616320078
2016-05-15 14:00:00,-33.502689519959205,234.84055524832044
2016-05-15 15:00:00,-46.58866321420584,221.7546058278959
2016-05-15 16:00:00,-25.153392325701375,243.1898925093799
2016-05-15 17:00:00,0.195372750663239,268.53866786093744
2016-05-15 18:00:00,-10.8584791343945,257.4848226611042
2016-05-15 19:00:00,-30.1242162059023,238.62499818770226
2016-05-15 20:00:00,-33.19175693855381,235.6246522836126
2016-05-15 21:00:00,-56.67120672772754,212.18891099436613
2016-05-15 22:00:00,-62.655975619956266,206.2325758169011
2016-05-15 23:00:00,-65.45547902498201,203.45157027835074
2016-05-16 00:00:00,-68.21127298589616,200.7078106753472
2016-05-16 01:00:00,-67.76038581270856,201.1665273267968
2016-05-16 02:00:00,-68.64597917290158,200.2860278421072
2016-05-16 03:00:00,-69.72373185430973,199.2115892749501
2016-05-16 04:00:00,-69.73237451593323,199.20510281311036
2016-05-16 05:00:00,-65.99642456363479,202.94245561807963
2016-05-16 06:00:00,-58.06434840194247,210.87544449675693
2016-05-16 07:00:00,-39.700878183688786,229.23950854326156
2016-05-16 08:00:00,-27.38644892386489,241.55432415760973
2016-05-16 09:00:00,-47.13868024809352,221.80234420221257
2016-05-16 10:00:00,-54.1317527734567,214.80943522175863
